symbol,name,date,price
NFLX,Netflix Inc.,Jun 2016,94.3
NFLX,Netflix Inc.,Jul 2016,93.16
NFLX,Netflix Inc.,Aug 2016,95.62
NFLX,Netflix Inc.,Sep 2016,97.45
NFLX,Netflix Inc.,Oct 2016,113.16
NFLX,Netflix Inc.,Nov 2016,118.38
NFLX,Netflix Inc.,Dec 2016,124.01
NFLX,Netflix Inc.,Jan 2017,134.88
NFLX,Netflix Inc.,Feb 2017,142.5
NFLX,Netflix Inc.,Mar 2017,143.23
NFLX,Netflix Inc.,Apr 2017,145.46
NFLX,Netflix Inc.,May 2017,158.4
NFLX,Netflix Inc.,Jun 2017,156.51
NFLX,Netflix Inc.,Jul 2017,169.45
NFLX,Netflix Inc.,Aug 2017,172.39
NFLX,Netflix Inc.,Sep 2017,181.67
NFLX,Netflix Inc.,Oct 2017,194.28
NFLX,Netflix Inc.,Nov 2017,195.22
NFLX,Netflix Inc.,Dec 2017,187.85
NFLX,Netflix Inc.,Jan 2018,232.91
NFLX,Netflix Inc.,Feb 2018,263.41
PCLN,Priceline.com Inc,Jan 2010,210.83
PCLN,Priceline.com Inc,Feb 2010,213.71
PCLN,Priceline.com Inc,Mar 2010,243.27
PCLN,Priceline.com Inc,Apr 2010,260.25
PCLN,Priceline.com Inc,May 2010,213.22
PCLN,Priceline.com Inc,Jun 2010,185.22
PCLN,Priceline.com Inc,Jul 2010,212.16
PCLN,Priceline.com Inc,Aug 2010,288.57
PCLN,Priceline.com Inc,Sep 2010,332.54
PCLN,Priceline.com Inc,Oct 2010,349.97
PCLN,Priceline.com Inc,Nov 2010,402.26
PCLN,Priceline.com Inc,Dec 2010,408.08
PCLN,Priceline.com Inc,Jan 2011,430.47
PCLN,Priceline.com Inc,Feb 2011,447.31
PCLN,Priceline.com Inc,Mar 2011,468.3
PCLN,Priceline.com Inc,Apr 2011,523.98
PCLN,Priceline.com Inc,May 2011,518.62
PCLN,Priceline.com Inc,Jun 2011,490.46
PCLN,Priceline.com Inc,Jul 2011,530.82
PCLN,Priceline.com Inc,Aug 2011,500.65
PCLN,Priceline.com Inc,Sep 2011,518.78
PCLN,Priceline.com Inc,Oct 2011,487.38
PCLN,Priceline.com Inc,Nov 2011,504.83
PCLN,Priceline.com Inc,Dec 2011,473.53
PCLN,Priceline.com Inc,Jan 2012,503.17
PCLN,Priceline.com Inc,Feb 2012,569.0
PCLN,Priceline.com Inc,Mar 2012,678.67
PCLN,Priceline.com Inc,Apr 2012,731.05
PCLN,Priceline.com Inc,May 2012,683.2
PCLN,Priceline.com Inc,Jun 2012,648.75
PCLN,Priceline.com Inc,Jul 2012,660.76
PCLN,Priceline.com Inc,Aug 2012,600.27
PCLN,Priceline.com Inc,Sep 2012,623.98
PCLN,Priceline.com Inc,Oct 2012,596.4
PCLN,Priceline.com Inc,Nov 2012,633.7
PCLN,Priceline.com Inc,Dec 2012,630.26
